DAY,PRCP,TMAX,TMIN
1955-05-31,46.0,290.0,160.0
1955-07-31,6.0,260.0,140.0
1955-08-31,64.0,250.0,150.0
1955-10-31,0.0,250.0,150.0
1955-12-31,0.0,230.0,90.0
1956-01-31,0.0,260.0,110.0
1956-03-31,0.0,320.0,160.0
1956-05-31,48.0,230.0,140.0
1956-07-31,25.0,240.0,140.0
1956-08-31,20.0,270.0,160.0
1956-10-31,0.0,280.0,140.0
1956-12-31,0.0,260.0,130.0
1957-01-31,0.0,280.0,140.0
1957-03-31,0.0,300.0,160.0
1957-05-31,16.0,310.0,190.0
1957-07-31,0.0,280.0,160.0
1957-08-31,0.0,250.0,110.0
1957-10-31,0.0,270.0,130.0
1957-12-31,0.0,260.0,130.0
1958-01-31,0.0,280.0,90.0
1958-03-31,0.0,320.0,160.0
1958-05-31,84.0,310.0,150.0
1958-07-31,16.0,270.0,150.0
1958-08-31,67.0,270.0,150.0
1958-10-31,0.0,250.0,150.0
1958-12-31,74.0,220.0,140.0
1959-01-31,0.0,270.0,130.0
1959-03-31,0.0,300.0,140.0
1959-05-31,0.0,300.0,180.0
1959-07-31,54.0,260.0,160.0
1959-08-31,328.0,260.0,150.0
1959-10-31,0.0,250.0,140.0
1959-12-31,0.0,240.0,120.0
1960-01-31,0.0,260.0,110.0
1960-03-31,0.0,320.0,170.0
1960-05-31,0.0,320.0,160.0
1960-07-31,0.0,280.0,180.0
1960-08-31,23.0,260.0,170.0
1960-10-31,0.0,260.0,150.0
1960-12-31,0.0,270.0,130.0
1961-01-31,0.0,270.0,140.0
1961-03-31,0.0,310.0,160.0
1961-05-31,0.0,300.0,160.0
1961-07-31,102.0,250.0,170.0
1961-08-31,23.0,260.0,170.0
1961-10-31,0.0,260.0,140.0
1961-12-31,0.0,240.0,100.0
1962-01-31,0.0,260.0,90.0
1962-03-31,0.0,310.0,160.0
1962-05-31,0.0,,
1962-08-31,0.0,,
1962-10-31,0.0,270.0,150.0
1962-12-31,0.0,270.0,120.0
1963-01-31,0.0,300.0,140.0
1963-03-31,0.0,250.0,170.0
1963-05-31,0.0,205.0,150.0
1963-08-31,50.0,230.0,160.0
1963-10-31,0.0,260.0,140.0
1963-12-31,0.0,140.0,110.0
1964-03-31,0.0,295.0,150.0
1964-05-31,0.0,260.0,160.0
1964-07-31,0.0,245.0,150.0
1964-08-31,0.0,250.0,160.0
1964-10-31,0.0,220.0,135.0
1964-12-31,0.0,230.0,140.0
1965-01-31,0.0,240.0,90.0
1965-05-31,0.0,300.0,170.0
1965-07-31,55.0,250.0,140.0
1965-08-31,0.0,220.0,150.0
1965-10-31,0.0,240.0,125.0
1965-12-31,0.0,250.0,120.0
1966-01-31,0.0,230.0,70.0
1966-03-31,0.0,285.0,160.0
1966-05-31,0.0,280.0,160.0
1966-07-31,6.0,275.0,155.0
1966-08-31,5.0,250.0,150.0
1966-10-31,0.0,260.0,95.0
1966-12-31,0.0,272.0,127.0
1967-01-31,0.0,273.0,144.0
1967-03-31,0.0,312.0,164.0
1967-05-31,0.0,318.0,168.0
1967-07-31,348.0,296.0,175.0
1967-08-31,232.0,272.0,153.0
1967-10-31,0.0,210.0,148.0
1967-12-31,0.0,250.0,133.0
1968-01-31,0.0,236.0,114.0
1968-03-31,0.0,300.0,160.0
1968-05-31,0.0,290.0,170.0
1968-07-31,0.0,250.0,163.0
1968-08-31,0.0,240.0,150.0
1968-10-31,0.0,250.0,123.0
1968-12-31,0.0,270.0,146.0
1969-01-31,0.0,276.0,132.0
1969-03-31,1.0,260.0,124.0
1969-05-31,12.0,274.0,160.0
1969-07-31,16.0,270.0,170.0
1969-08-31,262.0,230.0,168.0
1969-10-31,0.0,270.0,140.0
1969-12-31,0.0,262.0,142.0
1970-01-31,0.0,264.0,124.0
1970-03-31,0.0,322.0,178.0
1970-05-31,0.0,303.0,184.0
1970-07-31,44.0,271.0,156.0
1970-08-31,145.0,243.0,172.0
1970-10-31,0.0,280.0,142.0
1970-12-31,0.0,280.0,134.0
1971-01-31,0.0,310.0,143.0
1971-07-31,3.0,273.0,160.0
1971-08-31,10.0,203.0,163.0
1971-10-31,0.0,240.0,140.0
1971-12-31,0.0,245.0,115.0
1972-01-31,0.0,220.0,110.0
1972-03-31,0.0,290.0,125.0
1972-05-31,0.0,280.0,170.0
1972-07-31,130.0,230.0,160.0
1972-08-31,135.0,255.0,170.0
1972-10-31,0.0,265.0,150.0
1972-12-31,0.0,300.0,120.0
1973-01-31,0.0,230.0,110.0
1973-03-31,0.0,295.0,160.0
1973-05-31,0.0,310.0,170.0
1973-08-31,245.0,255.0,160.0
1973-10-31,305.0,250.0,140.0
1973-12-31,0.0,,
1974-01-31,0.0,,
1974-03-31,0.0,310.0,150.0
1974-05-31,45.0,280.0,165.0
1974-07-31,0.0,240.0,170.0
1974-08-31,60.0,250.0,150.0
1974-10-31,0.0,270.0,150.0
1974-12-31,0.0,260.0,140.0
1975-01-31,0.0,290.0,140.0
1975-03-31,0.0,310.0,160.0
1975-05-31,40.0,250.0,160.0
1975-07-31,0.0,250.0,140.0
1975-08-31,50.0,220.0,160.0
1975-10-31,0.0,260.0,120.0
1975-12-31,0.0,230.0,120.0
1976-01-31,0.0,240.0,120.0
1976-03-31,95.0,280.0,150.0
1976-05-31,10.0,295.0,185.0
1976-07-31,200.0,260.0,160.0
1976-08-31,60.0,240.0,140.0
1976-10-31,360.0,260.0,160.0
1976-12-31,0.0,260.0,130.0
1977-01-31,0.0,270.0,130.0
1977-03-31,0.0,330.0,180.0
1977-05-31,70.0,290.0,150.0
1977-07-31,0.0,270.0,160.0
1977-08-31,200.0,260.0,160.0
1977-10-31,0.0,275.0,155.0
1977-12-31,0.0,285.0,150.0
1978-01-31,0.0,285.0,145.0
1978-03-31,0.0,200.0,175.0
1978-05-31,15.0,240.0,165.0
1978-07-31,375.0,265.0,155.0
1978-08-31,0.0,265.0,160.0
1978-10-31,0.0,255.0,130.0
1978-12-31,0.0,265.0,160.0
1979-01-31,0.0,280.0,155.0
1979-03-31,0.0,315.0,180.0
1979-05-31,130.0,300.0,165.0
1979-07-31,10.0,265.0,170.0
1979-08-31,216.0,280.0,145.0
1979-10-31,0.0,295.0,115.0
1979-12-31,0.0,270.0,130.0
1980-01-31,0.0,265.0,150.0
1980-03-31,0.0,310.0,170.0
1980-05-31,0.0,310.0,195.0
1980-07-31,35.0,250.0,160.0
1980-08-31,57.0,220.0,170.0
1980-10-31,0.0,250.0,160.0
1980-12-31,0.0,230.0,90.0
1989-03-31,0.0,,145.0
1990-05-31,3.0,,169.0
1990-07-31,185.0,,140.0
1990-08-31,0.0,,134.0
1990-10-31,0.0,,116.0
1990-12-31,0.0,270.0,157.0
1991-03-31,0.0,333.0,136.0
1991-05-31,0.0,,
1991-07-31,10.0,,164.0
1991-08-31,18.0,284.0,144.0
1991-10-31,0.0,323.0,161.0
1992-03-31,0.0,,168.0
1992-07-31,0.0,,154.0
1992-08-31,302.0,284.0,151.0
1992-10-31,0.0,264.0,138.0
1992-12-31,0.0,251.0,113.0
1993-03-31,0.0,336.0,150.0
1993-05-31,0.0,,178.0
1993-07-31,0.0,,
1993-10-31,0.0,,
1994-01-31,0.0,,
1994-03-31,0.0,312.0,
1994-05-31,0.0,,
1994-10-31,0.0,,126.0
1994-12-31,0.0,,103.0
1995-03-31,0.0,323.0,
1995-05-31,183.0,238.0,
1995-07-31,0.0,260.0,124.0
1995-08-31,5.0,,
1995-10-31,0.0,,
1995-12-31,414.0,,
1996-01-31,0.0,,
1996-03-31,0.0,,134.0
1996-05-31,3.0,,
1996-07-31,173.0,,
1996-08-31,0.0,,
1996-10-31,0.0,,
1996-12-31,0.0,,
1997-01-31,0.0,,
1997-03-31,8.0,,
1997-05-31,0.0,,
1997-07-31,0.0,,
1997-10-31,0.0,,
1997-12-31,0.0,,
1998-01-31,0.0,,
1998-03-31,0.0,,
1998-07-31,0.0,,
1998-08-31,511.0,,
1998-10-31,0.0,,
2000-03-31,0.0,,
2000-05-31,117.0,,
2000-07-31,13.0,,
2000-08-31,86.0,269.0,159.0
2000-10-31,0.0,284.0,133.0
2001-03-31,0.0,,
2001-05-31,23.0,,
2001-07-31,48.0,,
2001-08-31,25.0,272.0,155.0
2002-05-31,69.0,324.0,144.0
2002-08-31,61.0,,
2002-10-31,0.0,291.0,140.0
2003-05-31,0.0,335.0,180.0
2003-07-31,0.0,,
2003-08-31,,310.0,164.0
2003-10-31,0.0,,
2004-07-31,0.0,,
2004-08-31,391.0,,
2004-10-31,13.0,,
2004-12-31,0.0,,
2005-03-31,0.0,,
2005-05-31,15.0,,
2005-07-31,0.0,,
2005-10-31,0.0,,
2005-12-31,0.0,,
2006-03-31,0.0,,
2006-05-31,0.0,,
2006-08-31,64.0,,
2006-10-31,0.0,,
2007-03-31,0.0,,
2007-05-31,61.0,,
2007-07-31,36.0,,
2007-08-31,0.0,,
2007-10-31,0.0,,
2008-05-31,0.0,,
2008-07-31,0.0,,
2008-08-31,51.0,,
2008-10-31,0.0,283.0,109.0
2009-05-31,0.0,,
2009-07-31,23.0,,
2009-08-31,366.0,,
2009-10-31,5.0,,
2010-10-31,0.0,,
2010-12-31,0.0,,
2011-03-31,0.0,,
